YEAR,UNIQUE_ID,COUNTYFP,CNTY_CODE,CNTY_NAME,PRECINCT_ID
2022,ALA-0001,1,ALA,Alachua,1
2022,ALA-0002,1,ALA,Alachua,2
2022,ALA-0003,1,ALA,Alachua,3
2022,ALA-0004,1,ALA,Alachua,4
2022,ALA-0005,1,ALA,Alachua,5
2022,ALA-0006,1,ALA,Alachua,6
2022,ALA-0007,1,ALA,Alachua,7
2022,ALA-0008,1,ALA,Alachua,8
2022,ALA-0009,1,ALA,Alachua,9
2022,ALA-0010,1,ALA,Alachua,10
2022,ALA-0011,1,ALA,Alachua,11
2022,ALA-0012,1,ALA,Alachua,12
2022,ALA-0013,1,ALA,Alachua,13
2022,ALA-0014,1,ALA,Alachua,14
2022,ALA-0015,1,ALA,Alachua,15
2022,ALA-0016,1,ALA,Alachua,16
2022,ALA-0017,1,ALA,Alachua,17
2022,ALA-0018,1,ALA,Alachua,18
2022,ALA-0019,1,ALA,Alachua,19
2022,ALA-0020,1,ALA,Alachua,20
2022,ALA-0021,1,ALA,Alachua,21
2022,ALA-0022,1,ALA,Alachua,22
2022,ALA-0023,1,ALA,Alachua,23
2022,ALA-0024,1,ALA,Alachua,24
2022,ALA-0025,1,ALA,Alachua,25
2022,ALA-0026,1,ALA,Alachua,26
2022,ALA-0027,1,ALA,Alachua,27
2022,ALA-0028,1,ALA,Alachua,28
2022,ALA-0029,1,ALA,Alachua,29
2022,ALA-0030,1,ALA,Alachua,30
2022,ALA-0031,1,ALA,Alachua,31
2022,ALA-0032,1,ALA,Alachua,32
2022,ALA-0033,1,ALA,Alachua,33
2022,ALA-0034,1,ALA,Alachua,34
2022,ALA-0035,1,ALA,Alachua,35
2022,ALA-0036,1,ALA,Alachua,36
2022,ALA-0037,1,ALA,Alachua,37
2022,ALA-0038,1,ALA,Alachua,38
2022,ALA-0039,1,ALA,Alachua,39
2022,ALA-0040,1,ALA,Alachua,40
2022,ALA-0041,1,ALA,Alachua,41
2022,ALA-0042,1,ALA,Alachua,42
2022,ALA-0043,1,ALA,Alachua,43
2022,ALA-0044,1,ALA,Alachua,44
2022,ALA-0045,1,ALA,Alachua,45
2022,ALA-0046,1,ALA,Alachua,46
2022,ALA-0047,1,ALA,Alachua,47
2022,ALA-0048,1,ALA,Alachua,48
2022,ALA-0049,1,ALA,Alachua,49
2022,ALA-0050,1,ALA,Alachua,50
2022,ALA-0051,1,ALA,Alachua,51
2022,ALA-0052,1,ALA,Alachua,52
2022,ALA-0053,1,ALA,Alachua,53
2022,ALA-0054,1,ALA,Alachua,54
2022,ALA-0055,1,ALA,Alachua,55
2022,ALA-0056,1,ALA,Alachua,56
2022,ALA-0057,1,ALA,Alachua,57
2022,ALA-0058,1,ALA,Alachua,58
2022,ALA-0059,1,ALA,Alachua,59
2022,ALA-0060,1,ALA,Alachua,60
2022,ALA-0061,1,ALA,Alachua,61
2022,ALA-0062,1,ALA,Alachua,62
2022,ALA-0063,1,ALA,Alachua,63
2022,ALA-0064,1,ALA,Alachua,64
2022,BAK-001A,3,BAK,Baker,1A
2022,BAK-002A,3,BAK,Baker,2A
2022,BAK-003A,3,BAK,Baker,3A
2022,BAK-004A,3,BAK,Baker,4A
2022,BAK-004B,3,BAK,Baker,4B
2022,BAK-004C,3,BAK,Baker,4C
2022,BAK-004D,3,BAK,Baker,4D
2022,BAK-005A,3,BAK,Baker,5A
2022,BAK-006A,3,BAK,Baker,6A
2022,BAY-0 10,5,BAY,Bay, 10
2022,BAY-0 11,5,BAY,Bay, 11
2022,BAY-0 12,5,BAY,Bay, 12
2022,BAY-0 13,5,BAY,Bay, 13
2022,BAY-0 14,5,BAY,Bay, 14
2022,BAY-0 15,5,BAY,Bay, 15
2022,BAY-0 16,5,BAY,Bay, 16
2022,BAY-0 17,5,BAY,Bay, 17
2022,BAY-0 18,5,BAY,Bay, 18
2022,BAY-0 19,5,BAY,Bay, 19
2022,BAY-0 20,5,BAY,Bay, 20
2022,BAY-0 21,5,BAY,Bay, 21
2022,BAY-0 22,5,BAY,Bay, 22
2022,BAY-0 23,5,BAY,Bay, 23
2022,BAY-0 24,5,BAY,Bay, 24
2022,BAY-0 25,5,BAY,Bay, 25
2022,BAY-0 26,5,BAY,Bay, 26
2022,BAY-0001,5,BAY,Bay,1
2022,BAY-0002,5,BAY,Bay,2
2022,BAY-0003,5,BAY,Bay,3
2022,BAY-0004,5,BAY,Bay,4
2022,BAY-0005,5,BAY,Bay,5
2022,BAY-0006,5,BAY,Bay,6
2022,BAY-0007,5,BAY,Bay,7
2022,BAY-0008,5,BAY,Bay,8
2022,BAY-0009,5,BAY,Bay,9
2022,BAY-011A,5,BAY,Bay,11A
2022,BRA-0001,7,BRA,Bradford,1
2022,BRA-0002,7,BRA,Bradford,2
2022,BRA-0003,7,BRA,Bradford,3
